number_episode,episode,link
19,19. Des mots que vous connaissez peut-être déjà,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24255122/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fb64c10c913369e392bea5857848e90d2.m4a
18,18. L'amour en France?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24253837/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fdb7b78c4bc4efa916280659a4d43d8ae.m4a
17,17. Comment ça marche l'école en France? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24253826/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fe85bd299e461a7e028b11cd5b5503a44.m4a
16,16. Les Français s'inquiètent-ils du changement climatique? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24114982/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fb5720befadabf303f03357e0b502b31a.m4a
15,15. 5 ans après les accords de Paris,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24113909/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fa201278b90b3367b67fd8895b44435fb.m4a
14,14. Les français s’engueulent-ils si souvent? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23840285/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fab3f16359ce9693d0ad6d79de01ce7b6.m4a
13,13. Comment vous débrouillez en français au restaurant?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23839715/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fa8f893f7c8a1bc5fc03e14b99c9f114e.m4a
12,12. Les mots français qui viennent de l'anglais ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23447314/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F98f456d7fd0dad00c478278946e59f04.m4a
11,11. Comment les Français voient les autres pays?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23446670/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F8054c8645b11ded0ded3aa641454df03.m4a
10,10. Les clichés sur les Français sont-ils vrais?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23342246/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fd5cd4019f36ce3ae08c60bf30502959e.m4a
9,9. L’esclavage a-t-il existé en France?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23291381/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F9e0f8d1c893f310430bb94b847a914fc.m4a
8,8. Les arrondissements de Paris ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23290696/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F5381d97a1c36099b8689908eb48072df.m4a
7,7. Les violences policières en France ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23216050/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F478611491e2e3105c5ba5a12dbb77f08.m4a
6,6. Noël en France ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23176382/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F0f3bf56013dfc263b9d4de6437706822.m4a
5,5. Comment j'apprends des langues ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23129834/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F6dd2586023a1489c1897cde7b614f025.m4a
4,4. Vivre à Paris ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23095897/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F860eeac48959ebe1b32b288084f7c234.m4a
3,3. Le confinement en France,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23006879/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fe6e2a4758d78a27411e04f42f158583d.m4a
2,2. Mes séries préférées,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23004944/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F36dbf33541d3b2fbbda6e351e3ff1fb9.m4a
1,1. Présentation ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/23004144/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-10-23%2F131392855-44100-2-0db90f52bd3d3.m4a
